T,X,X_tochne,delta_X,Y,Y_tochne,delta_Y
0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0001998001998001998,0.8947335842650518,0.9094652866195856,0.014731702354533804,0.10505626192039678,0.09073453354160382,0.014321728378792961
0.0003996003996003996,0.8233692590582754,0.8353598631430575,0.011990604084782142,0.17622072929303345,0.16503981710741822,0.011180912185615233
0.0005994005994005994,0.764637935825148,0.774705608184932,0.010067672359783897,0.23475215461532467,0.22589397209090545,0.008858182524419222
0.0007992007992007992,0.71653485453804,0.725064242181238,0.008529387643197994,0.2826552980949881,0.27573527806401643,0.006920020030971696
0.000999000999000999,0.6771290138648703,0.6844394706690753,0.007310456804204946,0.3218611610720724,0.31656002949763296,0.005301131574439455
0.0011988011988011988,0.6448447163427462,0.6511968659801921,0.006352149637445903,0.35394544101743936,0.3500026540679899,0.003942786949449439
0.0013986013986013986,0.6183916522784534,0.6239982719196338,0.005606619641180366,0.38019844763227045,0.37740130797802723,0.002797139654243219
0.0015984015984015984,0.5967132963790659,0.6017480988588934,0.00503480247982746,0.40167670621745755,0.39985158086423794,0.0018251253532196032
0.0017982017982017982,0.5789091387774986,0.5835493538770837,0.004640215099585121,0.41928072664805,0.41825046565549723,0.0010302609925527673
0.001998001998001998,0.5643197390151864,0.5686676412853062,0.00434790227011983,0.43366994939057546,0.43333235804869347,0.00033759134188199313
0.002197802197802198,0.5523606673968763,0.5565016887488562,0.004141021351979912,0.445428804148248,0.4456985303865223,0.00026972623827431486
0.0023976023976023976,0.5425544308135766,0.5465592161170614,0.0040047853034848035,0.45503478403801856,0.4558412628276489,0.0008064787896303605
0.0025974025974025974,0.5345102035951649,0.5384371784921616,0.003926974896996671,0.46287871473796754,0.4641636002778277,0.00128488553986017
0.002797202797202797,0.5279081101523433,0.531805590622215,0.003897480469871706,0.46928047184534893,0.47099552799699707,0.001715056151648131
0.002997002997002997,0.5224863445251932,0.5263942834341196,0.003907938908926489,0.4745018613280361,0.47660721506625575,0.0021053537382196286
0.003196803196803197,0.518030628533679,0.5219820611999226,0.003951432666243648,0.4787571613740176,0.48121985722155647,0.002462695847538887
0.0033966033966033966,0.5143655836705953,0.518387824175425,0.004022240504829688,0.4822217504984504,0.4850145542150989,0.0027928037166485287
0.0035964035964035964,0.5113476693255252,0.5154633004314022,0.004115631105876982,0.4850391693197012,0.4881395779841096,0.003100408664408416
0.003796203796203796,0.5088594029908104,0.5130870951803064,0.004227692189495924,0.4873269003533766,0.4907163233241407,0.003389422970764111
0.003996003996003996,0.5068046297208445,0.5111598187770348,0.004355189056190256,0.48918109855302977,0.49284417988830054,0.003663081335270768
0.004195804195804196,0.5051430453291516,0.5096000978633306,0.004457052534179051,0.49064206811308164,0.4946045210428529,0.003962452929771265
0.004395604395604396,0.5037573478822547,0.5083413095690344,0.0045839616867797695,0.49182711097495274,0.496063969665966,0.004236858691013257
0.004595404595404595,0.5025995151043416,0.5073289077022152,0.004729392597873527,0.49278424942239724,0.49727707195758164,0.004492822535184404
0.004795204795204795,0.5016291313779474,0.5065182336188022,0.004889102240854815,0.4935538990808205,0.4982884865697822,0.004734587488961717
0.005994005994005994,0.49821745185582417,0.5042453790853325,0.006027927229508345,0.4959612124417629,0.5017666269086662,0.005805414466903358
0.006993006993006993,0.4971636030940303,0.5039646985636274,0.006801095469597063,0.49600937065170075,0.5030528165980729,0.007043445946372129
0.007992007992007992,0.49619426003489353,0.5041797459819424,0.007985485947048843,0.495972065614456,0.50384428335404,0.007872217739583964
0.008991008991008992,0.49553844942430975,0.5045774796627182,0.009039030238408408,0.49562023825687035,0.5044540698586314,0.008833831601761044
0.009990009990009992,0.4949827734664917,0.5050427383265362,0.010059964860044512,0.4951672873658926,0.5049973383967737,0.009830051030881137
0.010989010989010992,0.49462994444963915,0.5055331568245836,0.010903212374944404,0.4945105016407224,0.5055164551237934,0.011005953483070985
0.011988011988011991,0.49420377833552553,0.5060331502082114,0.011829371872685845,0.49392606610599965,0.506027005995858,0.012100939889858386
0.012987012987012991,0.49346913415109483,0.5065369854141606,0.013067851263065755,0.49364912272020905,0.5065347250847536,0.012885602364544557
0.013986013986013991,0.4931216038886427,0.5070425536855822,0.013920949796939475,0.4929840804754995,0.5070417221568629,0.01405764168136342
0.014985014985014991,0.49249447163410565,0.5075490795737632,0.015054607939657516,0.4925976562693962,0.5075487736714426,0.014951117402046354
0.01598401598401599,0.4919181939855541,0.5080562781269621,0.016138084141407993,0.4921593944863084,0.5080561655917873,0.015896771105478935
0.01698301698301699,0.4916092122671537,0.5085640448375089,0.01695483257035524,0.49145285478356915,0.5085640034381317,0.017111148654562536
0.01798201798201799,0.49096304995365636,0.5090723415797177,0.01810929162606134,0.4910825146669452,0.509072326349738,0.01798981168279279
0.01898101898101899,0.49037432856835383,0.5095811546487904,0.019206826080436556,0.49065375359268426,0.5095811490459939,0.01892739545330968
0.01998001998001999,0.4900953806543926,0.5100904793241918,0.019995098669799205,0.4899142399962015,0.5100904772630381,0.02017623726683665
0.02097902097902099,0.4894258905945102,0.5106003141908337,0.021174423596323544,0.4895642904723438,0.5106003134325776,0.021036022960233824
0.02197802197802199,0.4890368034656884,0.5111106590499551,0.02207385558426672,0.4889329609207376,0.5111106587710083,0.022177697850270628
0.02297702297702299,0.48859555500672786,0.5116215141505784,0.023025959143850583,0.48835281657821555,0.5116215140479596,0.023268697469744082
0.02397602397602399,0.48788432459797876,0.5121328799067785,0.024248555308799713,0.4880416790390863,0.5121328798690271,0.024091200829940818
