θ,v(θ),u(θ)
0.0,0.0,0.0
0.031415926535897934,-0.02693082999463902,0.00018129579367571935
0.06283185307179587,-0.05387902377426092,0.000725391403434042
0.0942477796076938,-0.08086197514987226,0.0016329121373142837
0.12566370614359174,-0.10789713806480761,0.002904902252411119
0.15707963267948966,-0.13500205686186614,0.0045428280852143925
0.1884955592153876,-0.16219439679237532,0.006548582463839119
0.21991148575128555,-0.1894919748490921,0.008924490432294156
0.25132741228718347,-0.21691279100594402,0.011673316326112109
0.2827433388230814,-0.24447505994897994,0.014798272248283175
0.3141592653589793,-0.27219724338454926,0.018303028004581966
0.3455751918948773,-0.3000980830126628,0.022191722568210278
0.3769911184307752,-0.3281966342557036,0.02646897715526498
0.4084070449666731,-0.3565123008351719,0.03113991000509142
0.4398229715025711,-0.38506487029194597,0.0362101529731743
0.471238898038469,-0.41387455054864364,0.041685870059084335
0.5026548245743669,-0.44296200761606547,0.047573778008270604
0.5340707511102649,-0.4723484045493948,0.05388116914442317
0.5654866776461628,-0.5020554417638167,0.06061593660891628
0.5969026041820608,-0.5321053988235084,0.0677866022057693
0.6283185307179586,-0.5625211778224928,0.07540234707492384
0.6597344572538566,-0.5933263484807029,0.08347304544374312
0.6911503837897546,-0.624545195083644,0.0920093017368968
0.7225663103256524,-0.6562027653993513,0.10102249135861206
0.7539822368615504,-0.6883249217117782,0.11052480549914213
0.7853981633974484,-0.720938394115336,0.12052930035977934
0.8168140899333463,-0.7540708362209021,0.13104995123845065
0.8482300164692442,-0.7877508834291796,0.14210171197160285
0.8796459430051422,-0.8220082139326447,0.15370058028852637
0.9110618695410401,-0.8568736126123341,0.16586366970243996
0.942477796076938,-0.8923790380001736,0.17860928863962214
0.9738937226128359,-0.9285576924811564,0.1919570275948779
1.0053096491487339,-0.965444095912123,0.2059278552001023
1.0367255756846319,-1.0030741628347077,0.22054422420425296
1.0681415022205298,-1.0414852834586934,0.23583018848959186
1.0995574287564276,-1.0807164085878154,0.2518115323927298
1.1309733552923256,-1.1208081386521667,0.26851591376234774
1.1623892818282235,-1.161802816998619,0.28597302237132854
1.1938052083641215,-1.2037446275718011,0.30421475551278165
1.2252211349000195,-1.2466796970913572,0.3232754128509245
1.2566370614359172,-1.2906562017943746,0.3431919128734709
1.2880529879718152,-1.3357244787622504,0.364004033607273
1.3194689145077132,-1.381937141785543,0.38575468061944196
1.3508848410436112,-1.4293492016341953,0.40849018573905277
1.3823007675795091,-1.4780181904887217,0.43226064040786455
1.4137166941154071,-1.5280042901436777,0.4571202681116984
1.4451326206513049,-1.5793704634097745,0.4831278409680915
1.4765485471872029,-1.6321825879046663,0.5103471462632597
1.5079644737231008,-1.6865095911215546,0.5388475095569384
1.5393804002589988,-1.7424235852826369,0.5687043819243446
1.5707963267948968,-1.8000000000000007,0.6000000000000002
1.6022122533307945,-1.859317710153377,0.6328241287512203
1.6336281798666925,-1.9204591556186654,0.6672748983658054
1.6650441064025905,-1.9835104485009603,0.7034597483189151
1.6964600329384885,-2.048561462287428,0.7414964936223476
1.7278759594743864,-2.1157058957705663,0.7815145304941171
1.7592918860102844,-2.1850413026150566,0.8236562012605657
1.7907078125461822,-2.25666907494164,0.8680783412648775
1.8221237390820801,-2.3306943661396615,0.9149540339563931
1.8535396656179781,-2.4072259341180553,0.9644746042285157
1.884955592153876,-2.4863758811356806,1.0168518845134638
1.916371518689774,-2.568259259926036,1.0723207931794758
1.9477874452256718,-2.65299350767838,1.1311422704490954
1.9792033717615698,-2.740697659083751,1.1936066233825462
2.0106192982974678,-2.831491276495595,1.2600373384254901
2.0420352248333655,-2.9254930185182055,1.3307954275183016
2.0734511513692637,-3.0228187470365357,1.406284381613071
2.1048670779051615,-3.1235790455837775,1.4869558132911067
2.1362830044410597,-3.227875987417391,1.5733158774153078
2.1676989309769574,-3.3357989477310084,1.6659325644088792
2.199114857512855,-3.447419198552195,1.7654439632812253
2.2305307840487534,-3.56278295394215,1.8725675885418867
2.261946710584651,-3.681902443309927,1.9881108530384453
2.2933626371205493,-3.8047444774239834,2.1129827421021057
2.324778563656447,-3.9312158297862747,2.2482066951408464
2.356194490192345,-4.061144579682345,2.394934617165993
2.387610416728243,-4.194256346768888,2.554461807479149
2.419026343264141,-4.330144086113698,2.728242381134816
2.450442269800039,-4.4682298063110215,2.917904435659944
2.4818581963359367,-4.607716228448536,3.125263731672679
2.5132741228718345,-4.747526041813187,3.3523339441863773
2.5446900494077327,-4.88622608132569,3.6013305121437442
2.5761059759436304,-5.021933545322766,3.874663653751949
2.6075219024795286,-5.152201458794578,4.174914091109909
2.6389378290154264,-5.273881252539467,4.504782303492995
2.6703537555513246,-5.382962034566661,4.86699861075624
2.7017696820872223,-5.474389581909312,5.2641771202870276
2.73318560862312,-5.541874285216439,5.698591913925162
2.7646015351590183,-5.5777075327129575,6.1718497915584
2.796017461694916,-5.572621717341823,6.684432503313331
2.8274333882308142,-5.5157510829286736,7.235086448021311
2.858849314766712,-5.394778074153288,7.820055201062153
2.8902652413026098,-5.196377684288875,8.432187754755411
2.921681167838508,-4.9070881818609,9.0600204406751
2.9530970943744057,-4.514718355199659,9.687024286493612
2.984513020910304,-4.0103188769985945,10.291316323051475
3.0159289474462017,-3.3905731091156563,10.84620844548924
3.0473448739820994,-2.660207994898576,11.321934968214133
3.0787608005179976,-1.833764096938354,11.688679552670722
3.1101767270538954,-0.9359489484921885,11.920595345710407
3.1415926535897936,9.64873589805982e-15,12.0
3.1730085801256913,0.9359489484921946,11.920595345710407
